Which file:,TO average delay,IC average delay,TO misses,IC misses,TO truth delay,IC truth delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,4004,4956,6900,7857,8817,9772,10703,11674,12656,13626,14597,15554,16527,18491,19435,20385,22322,23258,24199,25149,26101,27069,28013,28974,30324,31821,32779,35084,36574,37556,38529,39500,40520,41087,,,,,,,,,,,,,,,,,,,,,
2113,3543,4505,5935,7403,8355,9323,10264,11198,12189,13165,14131,15087,16047,17518,18985,19924,21362,22812,23746,24687,25645,26598,27551,28441,29465,30409,32317,34216,35607,37072,38045,39015,40026,41017,,,,,,,,,,,,,,,,,,,,,
2113,3543,4505,5935,7403,8355,9323,10264,11198,12189,13165,14131,15087,16047,17518,18985,19924,21362,22812,23746,24687,25645,26598,27551,28441,29465,30409,32317,34216,35607,37072,38045,39015,40026,41017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT10_med_01.csv,0,0,0,0,393.3913043,803.326087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3287,4415,5522,6624,7761,8860,9967,11059,12189,13278,14378,15448,16531,17615,18697,19802,20917,22005,23084,24204,25307,26427,27506,28615,29697,30795,31875,32973,34075,35183,36276,37385,38473,39570,40663,41733,42824,44985,46064,47168,48249,49335,50442,51565,52720,53325,,,,,,,,,,
3287,4415,5522,6624,7761,8860,9967,11059,12189,13278,14378,15448,16531,17615,18697,19802,20917,22005,23084,24204,25307,26427,27506,28615,29697,30795,31875,32973,34075,35183,36276,37385,38473,39570,40663,41733,42824,44985,46064,47168,48249,49335,50442,51565,52720,53325,,,,,,,,,,
2675,3752,4880,5980,7181,8296,9387,10486,11531,12738,13804,14898,15978,17060,18137,19239,20261,21446,22523,23547,24741,25860,26954,28058,29142,30225,31321,32410,33517,34618,35725,36822,37913,39018,40114,41199,42284,44450,45515,46610,47697,48795,49794,50992,52139,53216,,,,,,,,,,
2675,3752,4880,5980,7181,8296,9387,10486,11531,12738,13804,14898,15978,17060,18137,19239,20261,21446,22523,23547,24741,25860,26954,28058,29142,30225,31321,32410,33517,34618,35725,36822,37913,39018,40114,41199,42284,44450,45515,46610,47697,48795,49794,50992,52139,53216,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT10_vary_01.csv,0,0,0,0,-295.2790698,925.8863636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,3901,5158,6393,7526,8575,9602,10973,11660,12690,13872,14487,15686,16304,16928,18149,19363,19983,20888,21894,22954,24024,25112,26165,27211,28287,29370,30471,31574,32713,33918,35088,36307,37491,38702,39929,41174,42443,43682,44913,46147,47391,48607,49825,51059,,,,,,,,,,,
2572,3901,5158,6393,7526,8575,9602,10973,11660,12690,13872,14487,15686,16304,16928,18149,19363,19983,20888,21894,22954,24024,25112,26165,27211,28287,29370,30471,31574,32713,33918,35088,36307,37491,38702,39929,41174,42443,43682,44913,46147,47391,48607,49825,51059,,,,,,,,,,,
2549,3162,4466,5695,7463,7919,8962,10585,11020,12125,13516,13991,14899,15812,16645,17644,18560,19488,20394,21305,22367,23436,24508,25592,26647,27675,28767,29865,30958,32047,33155,34405,35623,36836,38007,39161,40388,41726,43011,44220,45471,46684,48551,49048,50368,,,,,,,,,,,
2549,3162,4466,5695,7463,7919,8962,10585,11020,12125,13516,13991,14899,15812,16645,17644,18560,19488,20394,21305,22367,23436,24508,25592,26647,27675,28767,29865,30958,32047,33155,34405,35623,36836,38007,39161,40388,41726,43011,44220,45471,46684,48551,49048,50368,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overallTOslow: ,overallICslow: ,overallTOmed: ,overallICmed: ,overallTOfast: ,overallICfast: ,overallTOvary: ,overallICvary: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over all TO delay:,Over all IC delay: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
